folder,psnr,ssim,lpips
04_04_2024_W_C_GranolaBars_P_2,11.41522,0.31258,0.77123
04_04_2024_W_C_Greens1_V_1,10.23741,0.23332,0.8394
04_04_2024_W_C_Greens2_V_1,11.25163,0.22257,0.80277
04_04_2024_W_C_Greens3_V_1,11.52997,0.26957,0.74518
04_04_2024_W_C_Ketchup_P_3,9.49264,0.22612,0.85811
04_04_2024_W_C_Lemons1_F_1,12.80312,0.36134,0.70721
04_04_2024_W_C_Limes1_F_1,12.0366,0.27731,0.78095
04_04_2024_W_C_Mangoes1_F_1,11.10247,0.35354,0.80519
04_04_2024_W_C_Mangoes2_F_1,14.93286,0.41932,0.58849
04_04_2024_W_C_Mayo_P_3,9.73806,0.21439,0.87009
04_04_2024_W_C_Melons1_F_1,11.47853,0.37355,0.78936
04_04_2024_W_C_Melons2_F_1,11.98543,0.32817,0.7601
04_04_2024_W_C_Oil_P_3,10.48311,0.23162,0.84714
04_04_2024_W_C_Oils2_P_3,9.72232,0.214,0.87447
04_04_2024_W_C_Onions1_V_1,12.62822,0.40813,0.74422
04_04_2024_W_C_Onions2_V_1,12.63704,0.3678,0.74439
04_04_2024_W_C_Oranges1_F_1,12.44492,0.3706,0.73087
04_04_2024_W_C_PastaSauce2_P_2,11.89675,0.37902,0.77321
04_04_2024_W_C_PastaSauce3_P_2,13.03474,0.44798,0.73909
04_04_2024_W_C_PastaSauce4_P_2,11.86875,0.35646,0.77773
04_04_2024_W_C_PastaSauce_P_2,11.81633,0.3613,0.74391
04_04_2024_W_C_Peppers1_F_1,11.88756,0.2982,0.7786
04_04_2024_W_C_Peppers2_F_1,11.56431,0.114,0.97723
04_04_2024_W_C_Pickles_P_3,10.10566,0.22968,0.89293
04_04_2024_W_C_Pineapples1_F_1,11.63374,0.24128,0.82923
04_04_2024_W_C_Ranch_P_3,10.23467,0.21228,0.87929
04_04_2024_W_C_RedOnions1_V_1,12.12977,0.31018,0.68115
04_04_2024_W_C_Salsa_P_3,10.14633,0.23947,0.85382
04_04_2024_W_C_Sauce2_P_3,9.48259,0.18775,0.88074
04_04_2024_W_C_Sauce_P_3,9.81675,0.24012,0.84461
04_04_2024_W_C_Snacks2_P_2,11.50554,0.27211,0.81313
04_04_2024_W_C_Snacks_P_2,11.93811,0.32664,0.78103
04_04_2024_W_C_Sugar_P_2,12.20017,0.34613,0.76992
04_04_2024_W_C_TomatoCans_P_3,10.72751,0.2383,0.85046
04_04_2024_W_C_Tomatoes1_F_1,12.15873,0.29649,0.78773
04_04_2024_W_C_Tomatoes2_F_1,12.33867,0.34932,0.74383
04_04_2024_W_C_Various_P_2,10.76315,0.22136,0.78822
04_04_2024_W_C_Watermelon_F_2,13.58058,0.38831,0.70132
04_18_2024_W2_F_AppleJuice2_P_3,9.63461,0.19774,0.8992
04_18_2024_W2_F_AppleJuice_P_3,10.15644,0.27275,0.89408
04_18_2024_W2_F_AppleSauce1_P_1,9.93744,0.23352,0.87126
04_18_2024_W2_F_Apples1_F_1,12.267,0.29703,0.7807
04_18_2024_W2_F_Apples2_F_1,12.26551,0.3156,0.75139
04_18_2024_W2_F_Apples3_F_1,11.92802,0.37195,0.72113
04_18_2024_W2_F_Apples4_F_1,11.37717,0.25728,0.76034
04_18_2024_W2_F_BBQSauce2_P_2,9.44274,0.23458,0.83603
04_18_2024_W2_F_BBQSauce_P_3,9.54198,0.23991,0.86754
04_18_2024_W2_F_Bagels_P_3,11.07649,0.22858,0.89441
04_18_2024_W2_F_Bread1_P_1,10.49422,0.21136,0.84004
04_18_2024_W2_F_Bread2_P_1,10.08834,0.20835,0.84238
04_18_2024_W2_F_Bread_P_3,10.4601,0.23314,0.8871
04_18_2024_W2_F_Buns1_P_1,10.5545,0.22212,0.852
04_18_2024_W2_F_Candy2_P_2,9.46293,0.25002,0.86853
