folder,psnr,ssim,lpips
04_04_2024_W2_C_Candy2_P_3,10.59237,0.27083,0.8466
04_04_2024_W2_C_Candy_P_3,10.95201,0.31433,0.82605
04_04_2024_W2_C_Cans_P_2,11.55348,0.3725,0.77119
04_04_2024_W2_C_Chips2_P_3,10.88888,0.22283,0.78044
04_04_2024_W2_C_Chips3_P_3,11.103,0.24198,0.79278
04_04_2024_W2_C_Chips4_P_3,11.00523,0.18375,0.77719
04_04_2024_W2_C_Chips5_P_3,11.03637,0.30623,0.83811
04_04_2024_W2_C_Chips6_P_3,10.9096,0.22566,0.80899
04_04_2024_W2_C_Chips_P_3,10.34105,0.24122,0.78941
04_04_2024_W2_C_Coffee_P_3,10.82651,0.35222,0.85406
04_04_2024_W2_C_Cucumbers1_V_1,11.15618,0.2486,0.74286
04_04_2024_W2_C_Cucumbers2_V_1,11.53691,0.27691,0.71942
04_04_2024_W2_C_Flour_P_3,10.56703,0.30919,0.8319
04_04_2024_W2_C_FruitsLong1_F_1,11.17173,0.22532,0.77279
04_04_2024_W2_C_Gourds1_V_1,11.45525,0.41148,0.73231
04_04_2024_W2_C_Grapefruits1_F_1,13.41913,0.3846,0.71522
04_04_2024_W2_C_Juice_P_2,10.13652,0.10374,0.6589
04_04_2024_W2_C_Juice_P_3,10.28568,0.30797,0.85166
04_04_2024_W2_C_Ketchup_P_3,9.83733,0.20728,0.78191
04_04_2024_W2_C_Lemons1_F_1,14.91026,0.38432,0.63693
04_04_2024_W2_C_Mangoes1_F_1,12.1162,0.32361,0.71494
04_04_2024_W2_C_Mayo_P_2,10.82488,0.29476,0.75103
04_04_2024_W2_C_Melons1_F_1,12.98689,0.35028,0.69457
04_04_2024_W2_C_Oil2_P_3,10.97976,0.31684,0.83363
04_04_2024_W2_C_Oil_P_3,9.78478,0.19373,0.69704
04_04_2024_W2_C_Onions1_V_1,13.84793,0.38832,0.7154
04_04_2024_W2_C_Oranges1_F_1,14.58887,0.44856,0.63706
04_04_2024_W2_C_PastaSauce_P_2,12.76281,0.33674,0.74323
04_04_2024_W2_C_PeanutButter_P_3,10.94568,0.31572,0.82741
04_04_2024_W2_C_Peppers1_F_1,11.99171,0.31227,0.68483
04_04_2024_W2_C_Pickles_P_3,9.96256,0.23672,0.81399
