folder,psnr,ssim,lpips
03_21_2024_W_L_Candy_P_2,12.53444,0.26626,0.52469
04_18_2024_W2_F_Random_P_3,9.4064,0.09604,0.64796
04_04_2024_S_C_Lemons1_F_1,6.41373,0.03333,0.94866
03_07_2024_S_L_Onions_V_2,13.76409,0.31228,0.49722
04_18_2024_W3_F_TomatoCans1_P_1,9.7784,0.08068,0.66249
04_18_2024_W_F_Nectarines1_F_1,14.20098,0.24134,0.5222
04_04_2024_W_C_Greens2_V_1,12.22533,0.16581,0.54966
04_18_2024_W3_F_CanSoup2_P_3,9.21254,0.07629,0.63242
04_18_2024_W_F_GreenPeppers1_F_1,12.33245,0.14849,0.45891
04_04_2024_W_C_Limes1_F_1,13.22679,0.21283,0.47332
04_19_2024_W4_F_Plums2_F_1,10.58777,0.15043,0.60713
04_18_2024_W_F_Candy_P_3,9.51052,0.08448,0.62964
04_18_2024_W2_F_Spices_P_3,9.05459,0.06967,0.64323
03_21_2024_W_L_Nectarines2_F_1,15.15683,0.27957,0.44879
04_18_2024_W2_F_Candy3_P_2,10.98953,0.16422,0.61276
04_18_2024_W_F_Sugar_P_2,11.34078,0.17314,0.61365
04_18_2024_W2_F_Chips5_P_2,null,null,null
04_18_2024_W2_F_Bread2_P_1,9.74822,0.07706,0.5906
04_04_2024_S_C_Chips2_P_2,12.19771,0.14211,0.72783
04_19_2024_S2_F_Jam1_P_1,9.27848,0.07793,0.661
03_07_2024_S_L_Organic1_F_1,16.9793,0.42298,0.40523
03_21_2024_W_L_EnergyDrinks1_P_1,12.98926,0.28715,0.5083
04_18_2024_W_F_Snacks_P_3,9.701,0.08311,0.66151
04_19_2024_W4_F_OrganicBananas1_F_1,12.86914,0.19977,0.48428
04_19_2024_W4_F_Random_P_3,9.59894,0.08743,0.63507
04_04_2024_W2_C_Oranges1_F_1,15.22989,0.36954,0.4328
04_19_2024_W4_F_Plantains1_F_1,null,null,null
04_18_2024_W_F_Random_P_3,9.25267,0.08734,0.6629
04_04_2024_S_C_Ranch_P_2,11.30822,0.14076,0.55715
04_19_2024_S2_F_Melons1_F_1,13.36454,0.23085,0.54822
03_21_2024_W_L_Drinks_P_2,12.30417,0.22806,0.56922
04_04_2024_W_C_Bread2_P_2,13.56071,0.28655,0.6327
04_04_2024_S_C_Mayo_P_2,11.47612,0.22144,0.77328
03_21_2024_W_L_Pears_F_2,17.06049,0.45665,0.33817
04_18_2024_W3_F_RedOnions1_V_1,11.02477,0.12533,0.54782
04_04_2024_S_C_Chips2_P_1,6.10052,0.00237,0.98539
04_04_2024_W2_C_Lemons1_F_1,14.19281,0.25179,0.43274
04_04_2024_W2_C_Coffee_P_3,9.98622,0.11347,0.64908
04_04_2024_S_C_Various2_V_2,12.36713,0.22469,0.50983
04_18_2024_W_F_Candy3_P_3,9.58891,0.08802,0.62957
04_04_2024_W2_C_Ketchup_P_3,6.54363,0.00657,0.93912
04_18_2024_W3_F_Candy_P_2,8.68938,0.09892,0.68273
03_04_2024_S_L_Peppers_V_2,7.70107,0.00323,0.92365
04_04_2024_W2_C_AvacadosLong1_F_1,10.938,0.12271,0.52924
04_18_2024_W_F_Flour1_P_1,11.00758,0.1473,0.62137
03_21_2024_W_L_Coconuts1_F_1,5.83286,0.00969,0.91543
04_04_2024_S_C_Peppers1_F_1,12.58205,0.23927,0.45174
04_18_2024_W_F_GrapeFruit1_F_1,12.7911,0.23477,0.49803
04_04_2024_W2_C_Beans_P_3,9.78976,0.08564,0.65992
04_19_2024_S2_F_Sauce_P_2,9.01272,0.08087,0.6355
04_18_2024_W3_F_TomatoCans2_P_1,9.01197,0.08256,0.63204
04_04_2024_W2_C_Potatoes2_V_1,5.73064,0.00245,0.90923
04_04_2024_W2_C_SourCream_P_3,8.839,0.08997,0.70206
04_18_2024_W_F_Oranges1_F_1,13.21631,0.2728,0.48795
04_04_2024_W2_C_Gourds1_V_1,13.57388,0.3469,0.46077
04_04_2024_W_C_Snacks2_P_2,null,null,null
04_18_2024_W_F_Greens1_V_1,null,null,null
03_07_2024_S_L_Onions1_V_1,14.63079,0.3177,0.44446
03_07_2024_S_L_Apples_F_2,11.68169,0.1592,0.59457
04_18_2024_W3_F_Mangoes1_F_1,12.71467,0.17398,0.50832
03_21_2024_W_L_Apples_F_2,11.43973,0.10769,0.47902
04_04_2024_W_C_Peppers1_F_1,13.14848,0.19432,0.4565
04_18_2024_W_F_MacAndCheese1_P_1,6.00722,0.00283,0.97117
04_18_2024_W_F_Lemons1_F_1,null,null,null
04_19_2024_S2_F_Spices_P_3,8.95862,0.06191,0.64999
04_18_2024_W2_F_GrapeFruit1_F_1,14.42989,0.3023,0.50268
04_18_2024_W3_F_Sauce1_P_1,8.80186,0.08038,0.65834
