folder,psnr,ssim,lpips
04_04_2024_NG_C_Onions1_V_1,5.67752,0.00793,0.96473
04_19_2024_W4_F_OrganicBananas1_F_1,6.2932,0.02433,1.05678
03_21_2024_W_L_Ranch_P_2,5.07309,0.01679,1.02768
04_04_2024_W_C_Mangoes1_F_1,6.36355,0.01583,1.03202
04_18_2024_W2_F_Nuts_P_2,null,null,null
04_04_2024_W2_C_Melons1_F_1,16.74205,0.44423,0.52585
04_19_2024_S_F_Bananas1_F_1,13.9161,0.42108,0.67014
04_18_2024_W_F_Nuts1_P_1,5.77499,0.00939,1.02501
03_21_2024_W_L_Potatoes_V_2,15.18273,0.44894,0.54964
04_18_2024_W2_F_Soup_P_3,12.25204,0.30808,0.78105
04_18_2024_W2_F_Chips5_P_2,10.60069,0.20068,0.70274
04_19_2024_S_F_OliveOil_P_3,11.31065,0.33471,0.63489
04_04_2024_W2_C_Apples2_F_1,null,null,null
04_18_2024_W3_F_RedOnions1_V_1,12.97126,0.45622,0.66426
04_18_2024_W2_F_Candy3_P_2,6.50774,0.04679,1.03638
04_04_2024_W_C_Sauce_P_3,12.2374,0.2752,0.69045
04_18_2024_W2_F_Chips3_P_2,11.64381,0.29428,0.71579
04_18_2024_W3_F_Sugar_P_2,null,null,null
04_04_2024_W2_C_Chips6_P_3,10.63791,0.20576,0.73957
04_18_2024_W_F_Pickles_P_2,12.22371,0.25595,0.70035
03_21_2024_W_L_Apples3_F_2,14.20662,0.5651,0.81586
04_04_2024_W_C_Various_P_2,5.79809,0.00479,1.06844
04_18_2024_W2_F_Oranges1_F_1,5.85402,0.06906,1.09263
04_04_2024_W2_C_Apples5_F_1,5.81366,0.01185,1.04766
04_18_2024_W2_F_Chips_P_2,11.78642,0.45406,0.96292
04_04_2024_NG_C_Gourds1_V_1,15.30836,0.51088,0.51102
04_18_2024_W3_F_Cucumbers1_F_1,5.25663,0.00667,1.00939
04_04_2024_S_C_ApplesLong1_F_1,15.20113,0.55401,0.80032
03_04_2024_S_L_Tomatoes_F_2,14.44309,0.40702,0.76608
04_19_2024_W4_F_CanTomato_P_3,8.53876,0.21403,0.75497
04_04_2024_W_C_FruitsLong1_F_1,13.10611,0.4005,0.58666
04_18_2024_W2_F_Pears1_F_1,12.63155,0.48979,0.96321
03_04_2024_S_L_FruitsLong3_F_1,14.3642,0.38025,0.75423
04_18_2024_W3_F_Candy2_P_2,6.17067,0.02349,1.03604
03_07_2024_S_L_Onions1_V_1,6.07808,0.01475,1.08053
04_18_2024_W_F_Pineapples1_F_1,11.71567,0.31231,0.67846
04_04_2024_S_C_Peppers2_F_1,5.25687,0.0178,1.00547
04_04_2024_W2_C_Peppers1_F_1,12.92388,0.36452,0.57812
03_21_2024_W_L_Cans_P_2,5.96772,0.01271,1.04847
04_18_2024_W_F_PastaSauce5_P_2,12.58431,0.42754,0.7754
04_18_2024_W3_F_Ranch_P_3,10.62334,0.23317,0.70408
04_18_2024_W3_F_Peppers1_F_1,13.26535,0.45394,0.83783
04_18_2024_W_F_Nectarines1_F_1,20.11408,0.48656,0.44711
04_18_2024_W_F_Cans6_P_2,5.4483,0.01001,1.06796
03_13_2024_S_Co_Apples_F_2,null,null,null
04_04_2024_W2_C_Pickles_P_3,null,null,null
04_19_2024_S_F_Melons_F_2,4.79123,0.00775,0.95772
04_04_2024_W_C_Beans_P_3,null,null,null
04_19_2024_W4_F_Plums2_F_1,17.45591,0.58241,0.43903
04_18_2024_W2_F_Bread2_P_1,null,null,null
04_18_2024_W3_F_Limes1_F_1,12.84666,0.45909,0.68976
04_19_2024_W4_F_Bananas2_F_1,6.11211,0.0105,1.05255
